SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1.0,1.0,INE030A01027,1.0,INE030A01027,BOTH,500696.0,HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,A ,1.0,INE030A01027,Personal Products,Equity
HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006,2.0,1.0,INE267A01025,2.0,INE267A01025,BOTH,500188.0,HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.0,INE267A01025,Zinc,Equity
HIRECT,Hind Rectifiers Limited,EQ,26-DEC-2006,2.0,1.0,INE835D01023,2.0,INE835D01023,BOTH,504036.0,HIRECT,HIND RECTIFIERS LTD.,Active,B ,2.0,INE835D01023,Electronic Components,Equity
HISARMETAL,Hisar Metal Industries Limited,EQ,05-JAN-2017,10.0,1.0,INE598C01011,10.0,INE598C01011,BOTH,590018.0,HISARMET,HISAR METAL INDUSTRIES LTD.-$,Active,T ,10.0,INE598C01011,Iron &amp; Steel/Interm.Products,Equity
HITECHCORP,Hitech Corporation Limited,EQ,20-DEC-2007,10.0,1.0,INE120D01012,10.0,INE120D01012,BOTH,526217.0,HITECHCORP,Hitech Corporation Ltd-$,Active,B ,10.0,INE120D01012,Containers &amp; Packaging,Equity
HITECHGEAR,The Hi-Tech Gears Limited,BE,21-JAN-2002,10.0,1.0,INE127B01011,10.0,INE127B01011,BOTH,522073.0,HITECHGEAR,The Hi-Tech Gears Ltd,Active,B ,10.0,INE127B01011,Auto Parts &amp; Equipment,Equity
HLVLTD,HLV LIMITED,EQ,19-JUL-1995,2.0,1.0,INE102A01024,2.0,INE102A01024,BOTH,500193.0,HOTELEELA,HOTEL LEELAVENTURE LTD.,Active,B ,2.0,INE102A01024,Hotels,Equity
HMT,HMT Limited,BZ,29-AUG-2003,10.0,1.0,INE262A01018,10.0,INE262A01018,BOTH,500191.0,HMT,HMT LTD.,Active,Z ,10.0,INE262A01018,Commercial Vehicles,Equity
HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010,10.0,1.0,INE871K01015,10.0,INE871K01015,BOTH,533217.0,HMVL,HINDUSTAN MEDIA VENTURES LTD.,Active,B ,10.0,INE871K01015,Publishing,Equity
HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,10.0,1.0,INE671A01010,10.0,INE671A01010,BOTH,517174.0,HONAUT,HONEYWELL AUTOMATION INDIA LTD.,Active,B ,10.0,INE671A01010,Other Elect.Equip./ Prod.,Equity
