Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,ISIN_CLEAN,LISTING_SOURCE
533163,ARSSINFRA,ARSS INFRASTRUCTURE PROJECTS LTD.,Active,T ,10.0,INE267I01010,Construction &amp; Engineering,Equity,INE267I01010,BSE_ONLY
533171,UNITEDBNK,UNITED BANK OF INDIA,Active,B ,10.0,INE695A01019,Banks,Equity,INE695A01019,BSE_ONLY
533176,DQE,DQ ENTERTAINMENT (INTERNATIONAL) LTD.,Active,T ,10.0,INE656K01010,Movies &amp; Entertainment,Equity,INE656K01010,BSE_ONLY
533178,PRADIP,Pradip Overseas Ltd,Active,B ,10.0,INE495J01015,Textiles,Equity,INE495J01015,BSE_ONLY
533179,PERSISTENT,PERSISTENT SYSTEMS LTD.,Active,A ,10.0,INE262H01013,IT Consulting &amp; Software,Equity,INE262H01013,BSE_ONLY
533180,SGJHL,SHREE GANESH JEWELLERY HOUSE (I) LTD.,Suspended,Z ,10.0,INE553K01019,Other Apparels &amp; Accessories,Equity,INE553K01019,BSE_ONLY
533200,TALWALKARS,Talwalkars Better Value Fitness Ltd,Active,B ,10.0,INE502K01016,Other Leisure Facilities,Equity,INE502K01016,BSE_ONLY
533202,NITESHEST,Nitesh Estates Ltd,Active,B ,10.0,INE639K01016,Realty,Equity,INE639K01016,BSE_ONLY
533204,MANDHANA,Mandhana Industries Ltd,Active,B ,10.0,INE087J01010,Textiles,Equity,INE087J01010,BSE_ONLY
533207,JPINFRATEC,Jaypee Infratech Ltd,Active,B ,10.0,INE099J01015,Roads &amp; Highways,Equity,INE099J01015,BSE_ONLY
533209,SAMRUDDHI,SAMRUDDHI CEMENT LTD.,Delisted,B ,5.0,INE676K01018,Cement &amp; Cement Products,Equity,INE676K01018,BSE_ONLY
533211,PARABDRUGS,Parabolic Drugs Ltd,Active,T ,10.0,INE618H01016,Pharmaceuticals,Equity,INE618H01016,BSE_ONLY
533216,TECHNOFAB,TECHNOFAB ENGINEERING LIMITED,Active,T ,10.0,INE509K01011,Construction &amp; Engineering,Equity,INE509K01011,BSE_ONLY
533219,SHRIASTER,Shri Aster Silicates Limited,Suspended,Z ,10.0,INE900K01012,Commodity Chemicals,Equity,INE900K01012,BSE_ONLY
533220,MIDFIELD,MIDFIELD INDUSTRIES LTD.,Delisted,XT,10.0,INE091K01010,Iron &amp; Steel Products,Equity,INE091K01010,BSE_ONLY
533221,AHLWEST,ASIAN HOTELS (WEST) LTD.,Active,T ,10.0,INE915K01010,Hotels,Equity,INE915K01010,BSE_ONLY
533228,BHARATFIN,Bharat Financial Inclusion Ltd,Active,A ,10.0,INE180K01011,Finance (including NBFCs),Equity,INE180K01011,BSE_ONLY
533256,HIRAFERRO,HIRA FERRO ALLOYS LTD.,Delisted,B ,10.0,INE573I01011,Iron &amp; Steel/Interm.Products,Equity,INE573I01011,BSE_ONLY
533257,INDOSOLAR,INDOSOLAR LTD.,Active,B ,10.0,INE866K01015,Other Elect.Equip./ Prod.,Equity,INE866K01015,BSE_ONLY
533258,TIRUPATIINK,TIRUPATI INKS LTD.,Suspended,Z ,10.0,INE493K01018,Specialty Chemicals,Equity,INE493K01018,BSE_ONLY
533261,EROSMEDIA,EROS INTERNATIONAL MEDIA LTD.,Active,B ,10.0,INE416L01017,Movies &amp; Entertainment,Equity,INE416L01017,BSE_ONLY
533264,ESL,ELECTROSTEEL STEELS LTD.,Active,T ,10.0,INE481K01013,Construction &amp; Engineering,Equity,INE481K01013,BSE_ONLY
533265,GALLISPAT,GALLANTT ISPAT LTD.,Suspended,T ,10.0,INE528K01011,Iron &amp; Steel/Interm.Products,Equity,INE528K01011,BSE_ONLY
533266,TECPRO,TECPRO SYSTEMS LTD.,Suspended,Z ,10.0,INE904H01010,Industrial Machinery,Equity,INE904H01010,BSE_ONLY
533267,CANTABIL,CANTABIL RETAIL INDIA LTD.,Active,B ,10.0,INE068L01016,Other Apparels &amp; Accessories,Equity,INE068L01016,BSE_ONLY
533276,BSLIMITED,BS LTD.,Active,B ,1.0,INE043K01029,Construction &amp; Engineering,Equity,INE043K01029,BSE_ONLY
533281,TECHNO,TECHNO ELECTRIC AND ENGINEERING CO. LTD.,Active,B ,2.0,INE286K01024,Heavy Electrical Equipment,Equity,INE286K01024,BSE_ONLY
533285,RDBRIL,RDB REALTY &amp; INFRASTRUCTURE LTD.,Active,XT,10.0,INE245L01010,Realty,Equity,INE245L01010,BSE_ONLY
533288,CLARIS,CLARIS LIFESCIENCES LTD.,Active,B ,10.0,INE562G01018,Pharmaceuticals,Equity,INE562G01018,BSE_ONLY
533289,KTIL,KESAR TERMINALS &amp; INFRASTRUCTURE LTD.,Active,B ,5.0,INE096L01025,Transportation - Logistics,Equity,INE096L01025,BSE_ONLY
533297,KBIL,KIRLOSKAR BROTHERS INVESTMENTS LTD.,Delisted,B ,10.0,INE920K01010,Holding Companies,Equity,INE920K01010,BSE_ONLY
533301,SPYL,SHEKHAWATI POLY-YARN LTD.,Active,T ,1.0,INE268L01020,Textiles,Equity,INE268L01020,BSE_ONLY
533304,CMAHENDRA,C. MAHENDRA EXPORTS LTD.,Suspended,Z ,10.0,INE378J01013,Other Apparels &amp; Accessories,Equity,INE378J01013,BSE_ONLY
533309,DALMIABHA,DALMIA BHARAT LTD.,Active,A ,2.0,INE439L01019,Cement &amp; Cement Products,Equity,INE439L01019,BSE_ONLY
533314,AGSINFO,AGS INFOTECH LIMITED,Delisted,XT,10.0,INE966E01016,IT Consulting &amp; Software,Equity,INE966E01016,BSE_ONLY
533320,JUBLINDS,JUBILANT INDUSTRIES LTD.,Active,B ,10.0,INE645L01011,Agrochemicals,Equity,INE645L01011,BSE_ONLY
533321,BILENERGY,BIL ENERGY SYSTEMS LTD.,Active,T ,1.0,INE607L01029,Other Elect.Equip./ Prod.,Equity,INE607L01029,BSE_ONLY
533330,ACROPETAL,ACROPETAL TECHNOLOGIES LTD.,Suspended,Z ,10.0,INE055L01013,IT Consulting &amp; Software,Equity,INE055L01013,BSE_ONLY
533332,SUDAR,SUDAR INDUSTRIES LTD.,Suspended,Z ,10.0,INE384L01017,Other Apparels &amp; Accessories,Equity,INE384L01017,BSE_ONLY
533333,FCL,FINEOTEX CHEMICAL LTD.,Active,B ,2.0,INE045J01026,Specialty Chemicals,Equity,INE045J01026,BSE_ONLY
533389,SHILPI,SHILPI CABLE TECHNOLOGIES LTD.,Active,Z ,10.0,INE510K01019,Other Elect.Equip./ Prod.,Equity,INE510K01019,BSE_ONLY
533393,TCIDEVELOP,TCI DEVELOPERS LTD.,Active,T ,10.0,INE662L01016,Realty,Equity,INE662L01016,BSE_ONLY
533399,PARAPRINT,PARAMOUNT PRINTPACKAGING LTD.,Suspended,Z ,10.0,INE702L01010,Containers &amp; Packaging,Equity,INE702L01010,BSE_ONLY
533400,FCONSUMER,Future Consumer Ltd,Active,A ,6.0,INE220J01025,Packaged Foods,Equity,INE220J01025,BSE_ONLY
533401,SERVALL,SERVALAKSHMI PAPER LTD.,Active,Z ,10.0,INE431L01016,Paper &amp; Paper Products,Equity,INE431L01016,BSE_ONLY
533402,INNOIND,INNOVENTIVE INDUSTRIES LTD.,Suspended,Z ,10.0,INE549I01011,Iron &amp; Steel Products,Equity,INE549I01011,BSE_ONLY
533407,CNOVAPETRO,CIL NOVA PETROCHEMICALS LTD.,Active,B ,10.0,INE672K01025,Textiles,Equity,INE672K01025,BSE_ONLY
533411,SANGHVIFOR,SANGHVI FORGING AND ENGINEERING LTD.,Active,B ,10.0,INE263L01013,Other Industrial Products,Equity,INE263L01013,BSE_ONLY
533412,DRDATSONS,Dr.Datsons Labs Limited,Suspended,B ,10.0,INE928K01013,Pharmaceuticals,Equity,INE928K01013,BSE_ONLY
533444,TIMBOR,TIMBOR HOME LTD.,Suspended,Z ,10.0,INE346L01016,Furniture-Furnishing-Paints,Equity,INE346L01016,BSE_ONLY
533462,TELEMARINE,TELEDATA MARINE SOLUTIONS LTD.,Delisted,T ,2.0,INE473I01014,IT Consulting &amp; Software,Equity,INE473I01014,BSE_ONLY
533469,BIRLAPAC,BIRLA PACIFIC MEDSPA LTD.,Suspended,Z ,10.0,INE341L01017,Healthcare Services,Equity,INE341L01017,BSE_ONLY
533470,RUSHIL,RUSHIL DECOR LTD.,Active,B ,10.0,INE573K01017,Forest Products,Equity,INE573K01017,BSE_ONLY
533495,WELGLOB,WELSPUN GLOBAL BRANDS LTD.,Delisted,T ,10.0,INE390K01016,Specialty Retail,Equity,INE390K01016,BSE_ONLY
533499,BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LTD.,Active,T ,10.0,INE224M01013,IT Consulting &amp; Software,Equity,INE224M01013,BSE_ONLY
533506,INVENTURE,INVENTURE GROWTH &amp; SECURITIES LTD.,Active,B ,10.0,INE878H01016,Other Financial Services,Equity,INE878H01016,BSE_ONLY
533525,HEALTHTECH,HEALTHFORE TECHNOLOGIES LTD.,Suspended,XT,10.0,INE402L01017,IT Consulting &amp; Software,Equity,INE402L01017,BSE_ONLY
533553,TDPOWERSYS,T D POWER SYSTEMS LTD.,Active,B ,10.0,INE419M01019,Heavy Electrical Equipment,Equity,INE419M01019,BSE_ONLY
533569,SRSLTD,SRS LTD.,Active,B ,10.0,INE219H01039,Other Apparels &amp; Accessories,Equity,INE219H01039,BSE_ONLY
533581,PGEL,PG ELECTROPLAST LTD.,Active,B ,10.0,INE457L01011,Consumer Electronics,Equity,INE457L01011,BSE_ONLY
533602,LESHAIND,LESHA INDUSTRIES LTD.,Suspended,XT,10.0,INE050L01022,Investment Companies,Equity,INE050L01022,BSE_ONLY
533639,TAKSHEEL,TAKSHEEL SOLUTIONS LTD.,Delisted,T ,10.0,INE889I01011,IT Consulting &amp; Software,Equity,INE889I01011,BSE_ONLY
533644,UJAAS,Ujaas Energy Limited,Active,B ,1.0,INE899L01022,Heavy Electrical Equipment,Equity,INE899L01022,BSE_ONLY
533676,INDOTHAI,INDO THAI SECURITIES LTD.,Active,B ,10.0,INE337M01013,Other Financial Services,Equity,INE337M01013,BSE_ONLY
533748,AVANTEBBPH,AVANTEBBPH,Suspended,P ,10.0,NA          ,,Equity,NA,BSE_ONLY
533758,APLAPOLLO,APL APOLLO TUBES LTD.,Active,B ,10.0,INE702C01019,Iron &amp; Steel Products,Equity,INE702C01019,BSE_ONLY
533888,RELBANK,R* Shares Banking Exchange Traded Fund,Suspended,B ,10.0,INF733I01028,,Equity,INF733I01028,BSE_ONLY
534063,FUTSOL,FUTURISTIC SOLUTIONS LTD.,Active,XT,10.0,INE241F01011,Other Financial Services,Equity,INE241F01011,BSE_ONLY
534064,AIML,ALLIANCE INTEGRATED METALIKS LTD.,Active,XT,10.0,INE123D01016,Iron &amp; Steel Products,Equity,INE123D01016,BSE_ONLY
534109,PYXISFIN,Pyxis Finvest Ltd,Active,M ,10.0,INE883L01018,Finance (including NBFCs),Equity,INE883L01018,BSE_ONLY
534125,MONETBBPH,MONETBBPH,Suspended,B ,10.0,INE743C01013,,Equity,INE743C01013,BSE_ONLY
534184,NAGAROIL,NAGARJUNA OIL REFINERY LTD.,Active,B ,1.0,INE453M01018,Exploration &amp; Production,Equity,INE453M01018,BSE_ONLY
534309,NBCC,NBCC (India) Ltd,Active,A ,2.0,INE095N01023,Construction &amp; Engineering,Equity,INE095N01023,BSE_ONLY
534535,BGPL,Bio Green Papers Ltd,Active,XT,10.0,INE958L01018,Paper &amp; Paper Products,Equity,INE958L01018,BSE_ONLY
534563,MASL,MAX ALERT SYSTEMS LTD.,Suspended,MT,10.0,INE253N01010,Industrial Machinery,Equity,INE253N01010,BSE_ONLY
534564,ASEEMG,ASEEM GLOBAL LTD.,Suspended,Z ,10.0,INE439C01018,Comm.Trading  &amp; Distribution,Equity,INE439C01018,BSE_ONLY
534567,VKSPL,VKS PROJECTS LTD.,Suspended,T ,1.0,INE213M01024,Construction &amp; Engineering,Equity,INE213M01024,BSE_ONLY
534600,JTLINFRA,JTL INFRA LTD.,Active,XT,10.0,INE391J01016,Construction &amp; Engineering,Equity,INE391J01016,BSE_ONLY
534618,SAL,SANGAM ADVISORS LTD.,Active,XT,10.0,INE299N01013,Other Financial Services,Equity,INE299N01013,BSE_ONLY
534659,JOINTECAED,JOINTECA EDUCATION SOLUTIONS LTD.,Active,MT,10.0,INE131N01018,IT Consulting &amp; Software,Equity,INE131N01018,BSE_ONLY
534690,LAKSHVILAS,LAKSHMI VILAS BANK LTD.,Active,A ,10.0,INE694C01018,Banks,Equity,INE694C01018,BSE_ONLY
534691,COMCL,COMFORT COMMOTRADE LTD.,Active,B ,10.0,INE456N01019,Other Financial Services,Equity,INE456N01019,BSE_ONLY
534708,RCRL,RCL RETAIL LTD.,Active,M ,10.0,INE892L01019,Department Stores,Equity,INE892L01019,BSE_ONLY
534711,CINEMAXIND,CINEMAX INDIA LTD.,Delisted,B ,5.0,INE460N01011,Specialty Retail,Equity,INE460N01011,BSE_ONLY
534732,INTELLADV,INTELLIVATE CAPITAL ADVISORS LTD.,Active,XT,1.0,INE176N01021,Other Financial Services,Equity,INE176N01021,BSE_ONLY
534733,SUPREMEX,Supremex Shine Steels Ltd,Active,XT,1.0,INE175N01023,Iron &amp; Steel/Interm.Products,Equity,INE175N01023,BSE_ONLY
534740,BCHL,BHANOT CONSTRUCTION &amp; HOUSING LTD.,Suspended,XT,10.0,INE484K01017,Construction &amp; Engineering,Equity,INE484K01017,BSE_ONLY
534748,STEELXIND,STEEL EXCHANGE INDIA LTD.,Active,B ,10.0,INE503B01013,Iron &amp; Steel/Interm.Products,Equity,INE503B01013,BSE_ONLY
534756,TARAJEWELS,TARA JEWELS LTD.,Active,B ,10.0,INE799L01016,Other Apparels &amp; Accessories,Equity,INE799L01016,BSE_ONLY
534757,FOCUSIRL,FOCUS INDUSTRIAL RESOURCES LTD.,Suspended,XT,10.0,INE603E01023,Finance (including NBFCs),Equity,INE603E01023,BSE_ONLY
534809,PCJEWELLER,PC JEWELLER LTD.,Active,A ,10.0,INE785M01013,Other Apparels &amp; Accessories,Equity,INE785M01013,BSE_ONLY
534839,EFPL,ECO FRIENDLY FOOD PROCESSING PARK LTD.,Active,M ,1.0,INE178O01025,Other Agricultural Products,Equity,INE178O01025,BSE_ONLY
534920,COVIDH,COVIDH TECHNOLOGIES LIMITED,Active,XT,10.0,INE899M01012,IT Consulting &amp; Software,Equity,INE899M01012,BSE_ONLY
534927,EBFL,ESTEEM BIO ORGANIC FOOD PROCESSING  LTD.,Active,M ,1.0,INE209O01028,Other Agricultural Products,Equity,INE209O01028,BSE_ONLY
535141,SRDL,SUNSTAR REALTY DEVELOPMENT LTD.,Active,B ,1.0,INE338O01025,Realty,Equity,INE338O01025,BSE_ONLY
535142,CNEL,CHANNEL NINE ENTERTAINMENT LTD.,Active,M ,1.0,INE437O01025,Movies &amp; Entertainment,Equity,INE437O01025,BSE_ONLY
535217,HPCBL,HPC BIOSCIENCES LTD.,Active,M ,1.0,INE507O01025,Other Agricultural Products,Equity,INE507O01025,BSE_ONLY
535276,SBISENSEX,SBI Mutual Fund - SBI Sensex ETF,Active,B ,10.0,INF200K01VT2,,Equity,INF200K01VT2,BSE_ONLY
535279,BMAL,BOTHRA METALS &amp; ALLOYS LTD.,Active,M ,10.0,INE583M01012,Aluminium,Equity,INE583M01012,BSE_ONLY
535387,LAKHOTIA,LAKHOTIA POLYESTERS (INDIA) LTD.,Active,T ,10.0,INE191O01010,Textiles,Equity,INE191O01010,BSE_ONLY
535431,GCMSECU,GCM Securities Ltd,Active,M ,1.0,INE168O01026,Other Financial Services,Equity,INE168O01026,BSE_ONLY
535466,SRL,SAMRUDDHI REALTY LTD.,Active,M ,10.0,INE621O01016,Realty,Equity,INE621O01016,BSE_ONLY
535467,AIFL,ASHAPURA INTIMATES FASHION LTD.,Active,B ,10.0,INE428O01016,Other Apparels &amp; Accessories,Equity,INE428O01016,BSE_ONLY
535486,DELTALTD,DELTA LEASING &amp; FINANCE LTD.,Suspended,Z ,10.0,INE874N01013,Other Financial Services,Equity,INE874N01013,BSE_ONLY
535501,IDFCEOS1RD,IDFC Equity Opportunity- Series 1- Regular Plan- Dividend,Delisted,B ,10.0,INF194K012N1,,Equity,INF194K012N1,BSE_ONLY
535502,IDFCEOS1DD,IDFC Equity Opportunity- Series 1- Direct Plan- Dividend,Delisted,B ,10.0,INF194K01I45,,Equity,INF194K01I45,BSE_ONLY
535503,RLL,ROSELABS LTD.,Suspended,Z ,10.0,INE479C01014,Comm.Trading  &amp; Distribution,Equity,INE479C01014,BSE_ONLY
535514,PRIMECAPM,PRIME CAPITAL MARKET LTD.,Suspended,XT,10.0,INE748D01010,Finance (including NBFCs),Equity,INE748D01010,BSE_ONLY
535566,KIFS,KIFS FINANCIAL SERVICES LTD.,Active,XT,10.0,INE902D01013,Finance (including NBFCs),Equity,INE902D01013,BSE_ONLY
535602,SHARDA,Sharda Motor Industries Ltd,Active,B ,10.0,INE597I01010,Auto Parts &amp; Equipment,Equity,INE597I01010,BSE_ONLY
535647,OTML,ONESOURCE TECHMEDIA LTD.,Active,M ,10.0,INE807O01011,Movies &amp; Entertainment,Equity,INE807O01011,BSE_ONLY
535910,MMLF,Money Masters Leasing &amp; Finance Ltd,Active,MT,10.0,INE340O01013,Finance (including NBFCs),Equity,INE340O01013,BSE_ONLY
