SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,LISTING_SOURCE
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10,INE155C01010,524075,ALBERTDA,ALBERT DAVID LTD.-$,Active,B ,10.0,INE155C01010,Pharmaceuticals,Equity,BOTH
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2,INE426A01027,506235,ALEMBICLTD,ALEMBIC LTD.,Active,B ,2.0,INE426A01027,Pharmaceuticals,Equity,BOTH
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5,INE062D01024,531147,ALICON,Alicon Castalloy Limited,Active,B ,5.0,INE062D01024,Aluminium,Equity,BOTH
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10,INE773I01017,533029,ALKALI,ALKALI METALS LTD.,Active,B ,10.0,INE773I01017,Specialty Chemicals,Equity,BOTH
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,INE540L01014,539523,ALKEM,Alkem Laboratories Ltd,Active,A ,2.0,INE540L01014,Pharmaceuticals,Equity,BOTH
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2,INE418H01029,532749,ALLCARGO,ALLCARGO LOGISTICS LTD.,Active,B ,2.0,INE418H01029,Transportation - Logistics,Equity,BOTH
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10,1,INE835G01018,10,INE835G01018,532633,ALLSEC,ALLSEC TECHNOLOGIES LTD.,Active,B ,10.0,INE835G01018,BPO/KPO,Equity,BOTH
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10,INE385I01010,532878,ALPA,ALPA LABORATORIES LTD.,Active,B ,10.0,INE385I01010,Biotechnology,Equity,BOTH
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10,INE137C01018,526397,ALPHAGEO,ALPHAGEO (INDIA) LTD.-$,Active,B ,10.0,INE137C01018,Oil Equipment &amp; Services,Equity,BOTH
ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10,1,INE093B01015,10,INE093B01015,530715,ALPSINDUS,ALPS INDUSTRIES LTD.,Active,T ,10.0,INE093B01015,Textiles,Equity,BOTH
