SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE
DEVX,Dev Accelerator Limited,EQ,17-SEP-2025,2,1,INE0VOV01021,2,INE0VOV01021,NSE_ONLY
DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1,1,INE872J01023,1,INE872J01023,NSE_ONLY
DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,2,1,INE03JI01017,2,INE03JI01017,NSE_ONLY
DHARAN,DHARAN INFRA-EPC LIMITED,BZ,02-APR-2018,1,1,INE278R01034,1,INE278R01034,NSE_ONLY
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10,1,INE00OQ01016,10,INE00OQ01016,NSE_ONLY
DHRUV,Dhruv Consultancy Services Limited,EQ,25-NOV-2021,10,1,INE506Z01015,10,INE506Z01015,NSE_ONLY
DIACABS,Diamond Power Infrastructure Limited,EQ,15-SEP-2023,1,1,INE989C01038,1,INE989C01038,NSE_ONLY
DIAMINESQ,Diamines & Chemicals Limited,EQ,25-SEP-2023,10,1,INE591D01014,10,INE591D01014,NSE_ONLY
DIFFNKG,Diffusion Engineers Limited,EQ,04-OCT-2024,10,1,INE184O01015,10,INE184O01015,NSE_ONLY
DIGIDRIVE,Digidrive Distributors Limited,EQ,10-JAN-2024,10,1,INE0PSC01024,10,INE0PSC01024,NSE_ONLY
DIGITIDE,Digitide Solutions Limited,EQ,11-JUN-2025,10,1,INE0U4701011,10,INE0U4701011,NSE_ONLY
DIGJAMLMTD,Digjam Limited,EQ,18-OCT-2021,10,1,INE731U01028,10,INE731U01028,NSE_ONLY
DIL,Debock Industries Limited,EQ,31-MAR-2022,10,1,INE411Y01011,10,INE411Y01011,NSE_ONLY
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-MAR-2023,5,1,INE753U01022,5,INE753U01022,NSE_ONLY
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2,1,INE935N01020,2,INE935N01020,NSE_ONLY
DJML,DJ Mediaprint & Logistics Limited,EQ,05-DEC-2022,10,1,INE0B1K01014,10,INE0B1K01014,NSE_ONLY
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10,1,INE505A01010,10,INE505A01010,NSE_ONLY
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,1,1,INE016M01021,1,INE016M01021,NSE_ONLY
DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,10,1,INE021O01019,10,INE021O01019,NSE_ONLY
DOLLAR,Dollar Industries Limited,EQ,21-APR-2017,2,1,INE325C01035,2,INE325C01035,NSE_ONLY
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,21-AUG-2023,1,1,INE920A01037,1,INE920A01037,NSE_ONLY
DOMS,DOMS Industries Limited,EQ,20-DEC-2023,10,1,INE321T01012,10,INE321T01012,NSE_ONLY
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-NOV-2020,10,1,INE266Y01019,10,INE266Y01019,NSE_ONLY
DPSCLTD,DPSC Limited,EQ,21-APR-2008,1,1,INE360C01024,1,INE360C01024,NSE_ONLY
DPWIRES,D P Wires Limited,EQ,17-JAN-2020,10,1,INE864X01013,10,INE864X01013,NSE_ONLY
DRCSYSTEMS,DRC Systems India Limited,EQ,10-MAR-2021,1,1,INE03RS01027,1,INE03RS01027,NSE_ONLY
DREAMFOLKS,Dreamfolks Services Limited,EQ,06-SEP-2022,2,1,INE0JS101016,2,INE0JS101016,NSE_ONLY
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,1,1,INE089A01031,1,INE089A01031,NSE_ONLY
DYCL,Dynamic Cables Limited,EQ,27-JUL-2022,10,1,INE600Y01019,10,INE600Y01019,NSE_ONLY
E2E,E2E Networks Limited,EQ,12-APR-2022,10,1,INE255Z01019,10,INE255Z01019,NSE_ONLY
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021,1,1,INE07O001026,1,INE07O001026,NSE_ONLY
EBGNG,GNG Electronics Limited,EQ,30-JUL-2025,2,1,INE18JU01028,2,INE18JU01028,NSE_ONLY
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ,04-SEP-2024,2,1,INE06HJ01020,2,INE06HJ01020,NSE_ONLY
EFCIL,EFC (I) Limited,EQ,20-AUG-2025,2,1,INE886D01026,2,INE886D01026,NSE_ONLY
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1,1,INE066A01021,1,INE066A01021,NSE_ONLY
EIEL,Enviro Infra Engineers Limited,EQ,29-NOV-2024,10,1,INE0LLY01014,10,INE0LLY01014,NSE_ONLY
EIFFL,Euro India Fresh Foods Limited,EQ,12-OCT-2021,10,1,INE546V01010,10,INE546V01010,NSE_ONLY
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022,2,1,INE668G01021,2,INE668G01021,NSE_ONLY
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,1,1,INE205B01031,1,INE205B01031,NSE_ONLY
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011,1,1,INE819L01012,1,INE819L01012,NSE_ONLY
ELIN,Elin Electronics Limited,EQ,30-DEC-2022,5,1,INE050401020,5,INE050401020,NSE_ONLY
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,01-JUL-2025,2,1,INE236E01022,2,INE236E01022,NSE_ONLY
EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,2,1,INE830C01026,2,INE830C01026,NSE_ONLY
EMCURE,Emcure Pharmaceuticals Limited,EQ,10-JUL-2024,10,1,INE168P01015,10,INE168P01015,NSE_ONLY
EMIL,Electronics Mart India Limited,EQ,17-OCT-2022,10,1,INE02YR01019,10,INE02YR01019,NSE_ONLY
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,18-NOV-2025,2,1,INE1C6T01020,2,INE1C6T01020,NSE_ONLY
EMSLIMITED,EMS Limited,EQ,21-SEP-2023,10,1,INE0OV601013,10,INE0OV601013,NSE_ONLY
EMUDHRA,eMudhra Limited,EQ,01-JUN-2022,5,1,INE01QM01018,5,INE01QM01018,NSE_ONLY
ENRIN,Siemens Energy India Limited,EQ,19-JUN-2025,2,1,INE1NPP01017,2,INE1NPP01017,NSE_ONLY
ENTERO,Entero Healthcare Solutions Limited,EQ,16-FEB-2024,10,1,INE010601016,10,INE010601016,NSE_ONLY
EPACK,EPACK Durable Limited,EQ,30-JAN-2024,10,1,INE0G5901015,10,INE0G5901015,NSE_ONLY
EPACKPEB,EPack Prefab Technologies Limited,EQ,01-OCT-2025,2,1,INE0MLS01022,2,INE0MLS01022,NSE_ONLY
EPIGRAL,Epigral Limited,EQ,18-AUG-2021,10,1,INE071N01016,10,INE071N01016,NSE_ONLY
EQUIPPP,Equippp Social Impact Technologies Limited,BE,19-MAY-2021,1,1,INE217G01035,1,INE217G01035,NSE_ONLY
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10,1,INE063P01018,10,INE063P01018,NSE_ONLY
ESAFSFB,ESAF Small Finance Bank Limited,EQ,10-NOV-2023,10,1,INE818W01011,10,INE818W01011,NSE_ONLY
ESSENTIA,Integra Essentia Limited,EQ,20-AUG-2013,1,1,INE418N01035,1,INE418N01035,NSE_ONLY
ETERNAL,ETERNAL LIMITED,EQ,23-JUL-2021,1,1,INE758T01015,1,INE758T01015,NSE_ONLY
ETHOSLTD,Ethos Limited,EQ,30-MAY-2022,10,1,INE04TZ01018,10,INE04TZ01018,NSE_ONLY
EUREKAFORB,Eureka Forbes Limited,EQ,11-SEP-2024,10,1,INE0KCE01017,10,INE0KCE01017,NSE_ONLY
